title,price_gbp,rating,availability,in_stock,category,detail_url,listing_page
Tastes Like Fear (DI Marnie Rome #3),10.69,1,In stock,True,Mystery,https://books.toscrape.com/catalogue/tastes-like-fear-di-marnie-rome-3_742/index.html,https://books.toscrape.com/catalogue/category/books/mystery_3/index.html
A Time of Torment (Charlie Parker #14),48.35,5,In stock,True,Mystery,https://books.toscrape.com/catalogue/a-time-of-torment-charlie-parker-14_657/index.html,https://books.toscrape.com/catalogue/category/books/mystery_3/index.html
A Study in Scarlet (Sherlock Holmes #1),16.73,2,In stock,True,Mystery,https://books.toscrape.com/catalogue/a-study-in-scarlet-sherlock-holmes-1_656/index.html,https://books.toscrape.com/catalogue/category/books/mystery_3/index.html
Poisonous (Max Revere Novels #3),26.8,3,In stock,True,Mystery,https://books.toscrape.com/catalogue/poisonous-max-revere-novels-3_627/index.html,https://books.toscrape.com/catalogue/category/books/mystery_3/index.html
Murder at the 42nd Street Library (Raymond Ambler #1),54.36,4,In stock,True,Mystery,https://books.toscrape.com/catalogue/murder-at-the-42nd-street-library-raymond-ambler-1_624/index.html,https://books.toscrape.com/catalogue/category/books/mystery_3/index.html
Most Wanted,35.28,3,In stock,True,Mystery,https://books.toscrape.com/catalogue/most-wanted_623/index.html,https://books.toscrape.com/catalogue/category/books/mystery_3/index.html
Hide Away (Eve Duncan #20),11.84,1,In stock,True,Mystery,https://books.toscrape.com/catalogue/hide-away-eve-duncan-20_620/index.html,https://books.toscrape.com/catalogue/category/books/mystery_3/index.html
Boar Island (Anna Pigeon #19),59.48,3,In stock,True,Mystery,https://books.toscrape.com/catalogue/boar-island-anna-pigeon-19_613/index.html,https://books.toscrape.com/catalogue/category/books/mystery_3/index.html
The Widow,27.26,2,In stock,True,Mystery,https://books.toscrape.com/catalogue/the-widow_609/index.html,https://books.toscrape.com/catalogue/category/books/mystery_3/index.html
Playing with Fire,13.71,3,In stock,True,Mystery,https://books.toscrape.com/catalogue/playing-with-fire_602/index.html,https://books.toscrape.com/catalogue/category/books/mystery_3/index.html
What Happened on Beale Street (Secrets of the South Mysteries #2),25.37,5,In stock,True,Mystery,https://books.toscrape.com/catalogue/what-happened-on-beale-street-secrets-of-the-south-mysteries-2_506/index.html,https://books.toscrape.com/catalogue/category/books/mystery_3/index.html
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),52.3,5,In stock,True,Mystery,https://books.toscrape.com/catalogue/the-bachelor-girls-guide-to-murder-herringford-and-watts-mysteries-1_491/index.html,https://books.toscrape.com/catalogue/category/books/mystery_3/index.html
Delivering the Truth (Quaker Midwife Mystery #1),20.89,4,In stock,True,Mystery,https://books.toscrape.com/catalogue/delivering-the-truth-quaker-midwife-mystery-1_464/index.html,https://books.toscrape.com/catalogue/category/books/mystery_3/index.html
The Mysterious Affair at Styles (Hercule Poirot #1),24.8,4,In stock,True,Mystery,https://books.toscrape.com/catalogue/the-mysterious-affair-at-styles-hercule-poirot-1_452/index.html,https://books.toscrape.com/catalogue/category/books/mystery_3/page-2.html
In the Woods (Dublin Murder Squad #1),38.38,2,In stock,True,Mystery,https://books.toscrape.com/catalogue/in-the-woods-dublin-murder-squad-1_433/index.html,https://books.toscrape.com/catalogue/category/books/mystery_3/page-2.html
The Silkworm (Cormoran Strike #2),23.05,5,In stock,True,Mystery,https://books.toscrape.com/catalogue/the-silkworm-cormoran-strike-2_280/index.html,https://books.toscrape.com/catalogue/category/books/mystery_3/page-2.html
The Exiled,43.45,3,In stock,True,Mystery,https://books.toscrape.com/catalogue/the-exiled_247/index.html,https://books.toscrape.com/catalogue/category/books/mystery_3/page-2.html
The Cuckoo's Calling (Cormoran Strike #1),19.21,1,In stock,True,Mystery,https://books.toscrape.com/catalogue/the-cuckoos-calling-cormoran-strike-1_239/index.html,https://books.toscrape.com/catalogue/category/books/mystery_3/page-2.html
Extreme Prey (Lucas Davenport #26),25.4,3,In stock,True,Mystery,https://books.toscrape.com/catalogue/extreme-prey-lucas-davenport-26_154/index.html,https://books.toscrape.com/catalogue/category/books/mystery_3/page-2.html
Career of Evil (Cormoran Strike #3),24.72,2,In stock,True,Mystery,https://books.toscrape.com/catalogue/career-of-evil-cormoran-strike-3_137/index.html,https://books.toscrape.com/catalogue/category/books/mystery_3/page-2.html
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),57.7,4,In stock,True,Mystery,https://books.toscrape.com/catalogue/the-no-1-ladies-detective-agency-no-1-ladies-detective-agency-1_76/index.html,https://books.toscrape.com/catalogue/category/books/mystery_3/page-2.html
The Girl You Lost,12.29,5,In stock,True,Mystery,https://books.toscrape.com/catalogue/the-girl-you-lost_66/index.html,https://books.toscrape.com/catalogue/category/books/mystery_3/page-2.html
The Girl In The Ice (DCI Erika Foster #1),15.85,3,In stock,True,Mystery,https://books.toscrape.com/catalogue/the-girl-in-the-ice-dci-erika-foster-1_65/index.html,https://books.toscrape.com/catalogue/category/books/mystery_3/page-2.html
Blood Defense (Samantha Brinkman #1),20.3,3,In stock,True,Mystery,https://books.toscrape.com/catalogue/blood-defense-samantha-brinkman-1_8/index.html,https://books.toscrape.com/catalogue/category/books/mystery_3/page-2.html
1st to Die (Women's Murder Club #1),53.98,1,In stock,True,Mystery,https://books.toscrape.com/catalogue/1st-to-die-womens-murder-club-1_2/index.html,https://books.toscrape.com/catalogue/category/books/mystery_3/page-2.html
Tipping the Velvet,53.74,1,In stock,True,Historical Fiction,https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html,https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,3,In stock,True,Historical Fiction,https://books.toscrape.com/catalogue/forever-and-forever-the-courtship-of-henry-longfellow-and-fanny-appleton_894/index.html,https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html
A Flight of Arrows (The Pathfinders #2),55.53,5,In stock,True,Historical Fiction,https://books.toscrape.com/catalogue/a-flight-of-arrows-the-pathfinders-2_876/index.html,https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html
The House by the Lake,36.95,1,In stock,True,Historical Fiction,https://books.toscrape.com/catalogue/the-house-by-the-lake_846/index.html,https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html
Mrs. Houdini,30.25,5,In stock,True,Historical Fiction,https://books.toscrape.com/catalogue/mrs-houdini_821/index.html,https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html
The Marriage of Opposites,28.08,4,In stock,True,Historical Fiction,https://books.toscrape.com/catalogue/the-marriage-of-opposites_759/index.html,https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html
Glory over Everything: Beyond The Kitchen House,45.84,3,In stock,True,Historical Fiction,https://books.toscrape.com/catalogue/glory-over-everything-beyond-the-kitchen-house_696/index.html,https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html
"Love, Lies and Spies",20.55,2,In stock,True,Historical Fiction,https://books.toscrape.com/catalogue/love-lies-and-spies_622/index.html,https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html
A Paris Apartment,39.01,4,In stock,True,Historical Fiction,https://books.toscrape.com/catalogue/a-paris-apartment_612/index.html,https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html
Lilac Girls,17.28,2,In stock,True,Historical Fiction,https://books.toscrape.com/catalogue/lilac-girls_597/index.html,https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html
The Constant Princess (The Tudor Court #1),16.62,3,In stock,True,Historical Fiction,https://books.toscrape.com/catalogue/the-constant-princess-the-tudor-court-1_493/index.html,https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html
The Invention of Wings,37.34,1,In stock,True,Historical Fiction,https://books.toscrape.com/catalogue/the-invention-of-wings_448/index.html,https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html
World Without End (The Pillars of the Earth #2),32.97,4,In stock,True,Historical Fiction,https://books.toscrape.com/catalogue/world-without-end-the-pillars-of-the-earth-2_420/index.html,https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html
The Passion of Dolssa,28.32,5,In stock,True,Historical Fiction,https://books.toscrape.com/catalogue/the-passion-of-dolssa_351/index.html,https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html
Girl With a Pearl Earring,26.77,1,In stock,True,Historical Fiction,https://books.toscrape.com/catalogue/girl-with-a-pearl-earring_322/index.html,https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html
Voyager (Outlander #3),21.07,5,In stock,True,Historical Fiction,https://books.toscrape.com/catalogue/voyager-outlander-3_299/index.html,https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html
The Red Tent,35.66,5,In stock,True,Historical Fiction,https://books.toscrape.com/catalogue/the-red-tent_273/index.html,https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html
The Last Painting of Sara de Vos,55.55,2,In stock,True,Historical Fiction,https://books.toscrape.com/catalogue/the-last-painting-of-sara-de-vos_259/index.html,https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html
The Guernsey Literary and Potato Peel Pie Society,49.53,1,In stock,True,Historical Fiction,https://books.toscrape.com/catalogue/the-guernsey-literary-and-potato-peel-pie-society_253/index.html,https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html
Girl in the Blue Coat,46.83,2,In stock,True,Historical Fiction,https://books.toscrape.com/catalogue/girl-in-the-blue-coat_160/index.html,https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html
Between Shades of Gray,20.79,5,In stock,True,Historical Fiction,https://books.toscrape.com/catalogue/between-shades-of-gray_128/index.html,https://books.toscrape.com/catalogue/category/books/historical-fiction_4/page-2.html
While You Were Mine,41.32,5,In stock,True,Historical Fiction,https://books.toscrape.com/catalogue/while-you-were-mine_97/index.html,https://books.toscrape.com/catalogue/category/books/historical-fiction_4/page-2.html
The Secret Healer,34.56,3,In stock,True,Historical Fiction,https://books.toscrape.com/catalogue/the-secret-healer_80/index.html,https://books.toscrape.com/catalogue/category/books/historical-fiction_4/page-2.html
Starlark,25.83,3,In stock,True,Historical Fiction,https://books.toscrape.com/catalogue/starlark_56/index.html,https://books.toscrape.com/catalogue/category/books/historical-fiction_4/page-2.html
Lost Among the Living,27.7,4,In stock,True,Historical Fiction,https://books.toscrape.com/catalogue/lost-among-the-living_31/index.html,https://books.toscrape.com/catalogue/category/books/historical-fiction_4/page-2.html
A Spy's Devotion (The Regency Spies of London #1),16.97,5,In stock,True,Historical Fiction,https://books.toscrape.com/catalogue/a-spys-devotion-the-regency-spies-of-london-1_3/index.html,https://books.toscrape.com/catalogue/category/books/historical-fiction_4/page-2.html
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,1,In stock,True,Science Fiction,https://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,https://books.toscrape.com/catalogue/category/books/science-fiction_16/index.html
Join,35.67,5,In stock,True,Science Fiction,https://books.toscrape.com/catalogue/join_902/index.html,https://books.toscrape.com/catalogue/category/books/science-fiction_16/index.html
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",43.3,4,In stock,True,Science Fiction,https://books.toscrape.com/catalogue/william-shakespeares-star-wars-verily-a-new-hope-william-shakespeares-star-wars-4_871/index.html,https://books.toscrape.com/catalogue/category/books/science-fiction_16/index.html
The Project,10.65,1,In stock,True,Science Fiction,https://books.toscrape.com/catalogue/the-project_856/index.html,https://books.toscrape.com/catalogue/category/books/science-fiction_16/index.html
Soft Apocalypse,26.12,2,In stock,True,Science Fiction,https://books.toscrape.com/catalogue/soft-apocalypse_833/index.html,https://books.toscrape.com/catalogue/category/books/science-fiction_16/index.html
Sleeping Giants (Themis Files #1),48.74,1,In stock,True,Science Fiction,https://books.toscrape.com/catalogue/sleeping-giants-themis-files-1_604/index.html,https://books.toscrape.com/catalogue/category/books/science-fiction_16/index.html
Arena,21.36,4,In stock,True,Science Fiction,https://books.toscrape.com/catalogue/arena_587/index.html,https://books.toscrape.com/catalogue/category/books/science-fiction_16/index.html
Foundation (Foundation (Publication Order) #1),32.42,1,In stock,True,Science Fiction,https://books.toscrape.com/catalogue/foundation-foundation-publication-order-1_375/index.html,https://books.toscrape.com/catalogue/category/books/science-fiction_16/index.html
The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy #2),10.92,1,In stock,True,Science Fiction,https://books.toscrape.com/catalogue/the-restaurant-at-the-end-of-the-universe-hitchhikers-guide-to-the-galaxy-2_275/index.html,https://books.toscrape.com/catalogue/category/books/science-fiction_16/index.html
Ready Player One,19.07,4,In stock,True,Science Fiction,https://books.toscrape.com/catalogue/ready-player-one_209/index.html,https://books.toscrape.com/catalogue/category/books/science-fiction_16/index.html
"Life, the Universe and Everything (Hitchhiker's Guide to the Galaxy #3)",33.26,2,In stock,True,Science Fiction,https://books.toscrape.com/catalogue/life-the-universe-and-everything-hitchhikers-guide-to-the-galaxy-3_189/index.html,https://books.toscrape.com/catalogue/category/books/science-fiction_16/index.html
Dune (Dune #1),54.86,1,In stock,True,Science Fiction,https://books.toscrape.com/catalogue/dune-dune-1_151/index.html,https://books.toscrape.com/catalogue/category/books/science-fiction_16/index.html
Do Androids Dream of Electric Sheep? (Blade Runner #1),51.48,1,In stock,True,Science Fiction,https://books.toscrape.com/catalogue/do-androids-dream-of-electric-sheep-blade-runner-1_149/index.html,https://books.toscrape.com/catalogue/category/books/science-fiction_16/index.html
Three Wishes (River of Time: California #1),44.18,2,In stock,True,Science Fiction,https://books.toscrape.com/catalogue/three-wishes-river-of-time-california-1_89/index.html,https://books.toscrape.com/catalogue/category/books/science-fiction_16/index.html
The Last Girl (The Dominion Trilogy #1),36.26,2,In stock,True,Science Fiction,https://books.toscrape.com/catalogue/the-last-girl-the-dominion-trilogy-1_70/index.html,https://books.toscrape.com/catalogue/category/books/science-fiction_16/index.html
Having the Barbarian's Baby (Ice Planet Barbarians #7.5),34.96,4,In stock,True,Science Fiction,https://books.toscrape.com/catalogue/having-the-barbarians-baby-ice-planet-barbarians-75_23/index.html,https://books.toscrape.com/catalogue/category/books/science-fiction_16/index.html
A Light in the Attic,51.77,3,In stock,True,Poetry,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html,https://books.toscrape.com/catalogue/category/books/poetry_23/index.html
The Black Maria,52.15,1,In stock,True,Poetry,https://books.toscrape.com/catalogue/the-black-maria_991/index.html,https://books.toscrape.com/catalogue/category/books/poetry_23/index.html
Shakespeare's Sonnets,20.66,4,In stock,True,Poetry,https://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html,https://books.toscrape.com/catalogue/category/books/poetry_23/index.html
Olio,23.88,1,In stock,True,Poetry,https://books.toscrape.com/catalogue/olio_984/index.html,https://books.toscrape.com/catalogue/category/books/poetry_23/index.html
You can't bury them all: Poems,33.63,2,In stock,True,Poetry,https://books.toscrape.com/catalogue/you-cant-bury-them-all-poems_961/index.html,https://books.toscrape.com/catalogue/category/books/poetry_23/index.html
Slow States of Collapse: Poems,57.31,3,In stock,True,Poetry,https://books.toscrape.com/catalogue/slow-states-of-collapse-poems_960/index.html,https://books.toscrape.com/catalogue/category/books/poetry_23/index.html
Untitled Collection: Sabbath Poems 2014,14.27,4,In stock,True,Poetry,https://books.toscrape.com/catalogue/untitled-collection-sabbath-poems-2014_953/index.html,https://books.toscrape.com/catalogue/category/books/poetry_23/index.html
Poems That Make Grown Women Cry,14.19,4,In stock,True,Poetry,https://books.toscrape.com/catalogue/poems-that-make-grown-women-cry_824/index.html,https://books.toscrape.com/catalogue/category/books/poetry_23/index.html
Night Sky with Exit Wounds,41.05,1,In stock,True,Poetry,https://books.toscrape.com/catalogue/night-sky-with-exit-wounds_822/index.html,https://books.toscrape.com/catalogue/category/books/poetry_23/index.html
salt.,46.78,4,In stock,True,Poetry,https://books.toscrape.com/catalogue/salt_731/index.html,https://books.toscrape.com/catalogue/category/books/poetry_23/index.html
"Quarter Life Poetry: Poems for the Young, Broke and Hangry",50.89,5,In stock,True,Poetry,https://books.toscrape.com/catalogue/quarter-life-poetry-poems-for-the-young-broke-and-hangry_727/index.html,https://books.toscrape.com/catalogue/category/books/poetry_23/index.html
Out of Print: City Lights Spotlight No. 14,53.64,5,In stock,True,Poetry,https://books.toscrape.com/catalogue/out-of-print-city-lights-spotlight-no-14_536/index.html,https://books.toscrape.com/catalogue/category/books/poetry_23/index.html
Les Fleurs du Mal,29.04,5,In stock,True,Poetry,https://books.toscrape.com/catalogue/les-fleurs-du-mal_530/index.html,https://books.toscrape.com/catalogue/category/books/poetry_23/index.html
Howl and Other Poems,40.45,2,In stock,True,Poetry,https://books.toscrape.com/catalogue/howl-and-other-poems_522/index.html,https://books.toscrape.com/catalogue/category/books/poetry_23/index.html
Leave This Song Behind: Teen Poetry at Its Best,51.17,5,In stock,True,Poetry,https://books.toscrape.com/catalogue/leave-this-song-behind-teen-poetry-at-its-best_474/index.html,https://books.toscrape.com/catalogue/category/books/poetry_23/index.html
The Collected Poems of W.B. Yeats (The Collected Works of W.B. Yeats #1),15.42,5,In stock,True,Poetry,https://books.toscrape.com/catalogue/the-collected-poems-of-wb-yeats-the-collected-works-of-wb-yeats-1_441/index.html,https://books.toscrape.com/catalogue/category/books/poetry_23/index.html
The Crossover,38.77,4,In stock,True,Poetry,https://books.toscrape.com/catalogue/the-crossover_398/index.html,https://books.toscrape.com/catalogue/category/books/poetry_23/index.html
Booked,17.49,5,In stock,True,Poetry,https://books.toscrape.com/catalogue/booked_365/index.html,https://books.toscrape.com/catalogue/category/books/poetry_23/index.html
Twenty Love Poems and a Song of Despair,30.95,4,In stock,True,Poetry,https://books.toscrape.com/catalogue/twenty-love-poems-and-a-song-of-despair_91/index.html,https://books.toscrape.com/catalogue/category/books/poetry_23/index.html
